FID	UMAP1	UMAP2
BurkinaFaso_Fulani_Ziniare:FZR52	-7.481672721	5.754877906
BurkinaFaso_Fulani_Ziniare:FZR53	-4.618839696	8.414336874
BurkinaFaso_Fulani_Ziniare:FZR54	-7.144482425	5.934023142
BurkinaFaso_Fulani_Ziniare:FZR55	-6.779233128	6.31357459
BurkinaFaso_Fulani_Banfora:Fban51	-5.063188193	10.78645684
BurkinaFaso_Fulani_Banfora:Fban52	-5.756302605	6.640449376
BurkinaFaso_Fulani_Banfora:FBan53	-5.552834643	10.31361616
BurkinaFaso_Fulani_Banfora:FBan55	-3.813818956	13.23946053
BurkinaFaso_Fulani_Banfora:FBan63	-4.810537855	11.08328283
BurkinaFaso_Fulani_Banfora:FBan64	-5.145529355	11.21057235
BurkinaFaso_Fulani_Banfora:FBan69	-4.906678917	10.54466561
BurkinaFaso_Fulani_Banfora:FBan73	-5.826517956	10.70951794
BurkinaFaso_Fulani_Banfora:FBan77	-5.176564238	9.109328883
BurkinaFaso_Fulani_Banfora:FBan79	-5.413303849	10.11447565
BurkinaFaso_Fulani_Banfora:FBan80	-4.849324882	11.60363317
BurkinaFaso_Fulani_Banfora:FBan82	-6.089309777	10.88113627
BurkinaFaso_Fulani_Banfora:FBan85	-5.662493311	10.30750276
BurkinaFaso_Fulani_Banfora:FBan88	-4.995723882	10.13282917
BurkinaFaso_Fulani_Banfora:FBan89	-6.086930103	10.28157447
BurkinaFaso_Fulani_Banfora:FBan90	-6.328913558	11.26015997
BurkinaFaso_Fulani_Banfora:FBan92	-4.575920117	11.77010899
BurkinaFaso_Fulani_Banfora:FBan93	-5.269299202	9.392590315
BurkinaFaso_Fulani_Banfora:FBan97	-5.641126451	12.21566673
BurkinaFaso_Fulani_Banfora:FBan99	-4.664664824	12.1517235
BurkinaFaso_Fulani_Tindangou:ftin01	-5.699284503	11.18367439
BurkinaFaso_Fulani_Tindangou:ftin02	-6.24071364	12.05990753
BurkinaFaso_Fulani_Tindangou:ftin03	-5.26557172	10.1647285
BurkinaFaso_Fulani_Tindangou:ftin04	-6.129794809	12.81378814
BurkinaFaso_Fulani_Tindangou:ftin05	-6.322348018	6.792683914
BurkinaFaso_Fulani_Tindangou:ftin06	-5.891667134	9.383562087
BurkinaFaso_Fulani_Tindangou:Ftin9	1.724202532	-5.220377127
BurkinaFaso_Fulani_Tindangou:Ftin10	-4.225158928	12.40687872
BurkinaFaso_Fulani_Tindangou:ftin11	-7.322395385	5.187372357
BurkinaFaso_Fulani_Tindangou:ftin12	-4.715092166	9.038736125
BurkinaFaso_Fulani_Tindangou:ftin13	-6.149763746	11.11619868
BurkinaFaso_Fulani_Tindangou:ftin14	-5.339817562	12.84095058
BurkinaFaso_Fulani_Tindangou:ftin15	-5.778578229	6.574895144
BurkinaFaso_Fulani_Tindangou:ftin16	-6.524898087	11.37750074
BurkinaFaso_Fulani_Tindangou:ftin18	-6.029741585	12.987704
BurkinaFaso_Fulani_Tindangou:ftin20	-3.89652361	12.95755089
BurkinaFaso_Fulani_Tindangou:ftin22	-5.724575761	10.9017867
BurkinaFaso_Fulani_Tindangou:ftin23	-6.266234649	10.1128861
BurkinaFaso_Fulani_Tindangou:ftin24	-5.44156289	9.974100756
BurkinaFaso_Fulani_Tindangou:ftin25	-5.138025949	11.46381386
BurkinaFaso_Fulani_Tindangou:ftin28	-6.018402186	11.60081298
BurkinaFaso_Fulani_Tindangou:ftin29	-5.937838326	12.82142206
BurkinaFaso_Fulani_Tindangou:ftin32	-5.727586051	11.82964716
BurkinaFaso_Fulani_Tindangou:ftin33	-6.532678734	11.13366935
BurkinaFaso_Fulani_Tindangou:ftin35	-5.109084335	9.39291524
BurkinaFaso_Fulani_Tindangou:ftin36	-6.804998801	11.26949997
Niger_Fulani_Abalak:FAba51	-4.620647211	11.6209092
Niger_Fulani_Abalak:FAba54	-5.102014921	13.24483924
Niger_Fulani_Abalak:FAba55	-4.490197322	11.99205151
Niger_Fulani_Abalak:FAba56	-4.97971141	13.17117183
Niger_Fulani_Abalak:FAba60	-4.293162741	12.80887944
Niger_Fulani_Abalak:FAba61	-4.276151245	11.6071722
Niger_Fulani_Abalak:FAba63	-4.701730965	12.40610171
Niger_Fulani_Abalak:FAba64	-5.100402337	10.38416446
Niger_Fulani_Abalak:FAba65	-5.032518489	11.31330419
Niger_Fulani_Abalak:FAba66	-4.012233547	12.66651168
Niger_Fulani_Abalak:FAba67	-4.1913547	11.93421812
Niger_Fulani_Abalak:FAba68	-4.893139813	13.05909284
Niger_Fulani_Abalak:FAba70	-4.120354378	11.48288535
Niger_Fulani_Abalak:FAba71	-4.934369058	12.41845947
Niger_Fulani_Abalak:FAba72	-3.449776611	11.51241337
Niger_Fulani_Abalak:FAba73	-4.849778196	12.81717032
Niger_Fulani_Abalak:FAba74	-3.674454104	11.45555163
Niger_Fulani_Abalak:FAba75	-4.555989207	12.72420074
Niger_Fulani_Abalak:FAba76	-4.255523728	9.619910417
Niger_Fulani_Ader:FAde04	-2.690478404	9.164490664
Niger_Fulani_Ader:FAde05	-2.241676264	9.215684917
Niger_Fulani_Ader:FAde06	-5.116124665	11.03011605
